Work item ID,Work type,Parent,Summary,Description,Priority,Labels,Labels
304,Story,300,"[P0-CORE-04] Implement local models, migrations, and repositories","Persist the active workflow, profile, recent documents, and sync metadata; use explicit migrations; keep UI and domain independent of persistence framework details.",Highest,p0,core
305,Story,300,"[P0-CORE-05] Implement the durable outbox and synchronization engine","Commit offline mutations with idempotency keys; retry after restart and reconnection; expose sync state; prevent duplicates; require review for financial conflicts.",Highest,p0,core
306,Story,300,"[P0-CORE-06] Implement secure auth session handling","Store session material securely; restore authenticated offline use; handle expiry and refresh without losing local work; prevent cross-account local data leakage.",Highest,p0,core
307,Story,300,"[P0-CORE-07] Implement location-backed trip events","Capture UTC, timezone, latitude, longitude, and accuracy on explicit active-load actions; label denied, unavailable, inaccurate, and manual events truthfully.",Highest,p0,core
308,Story,300,"[P0-CORE-08] Implement the local document pipeline","Retain private originals until confirmed upload; validate and process files, hash bytes, queue background transfer, retry safely, and exclude document data from telemetry.",Highest,p0,core
309,Story,300,"[P0-CORE-09] Implement versioned invoice PDF generation and sharing","Generate reproducible US Letter invoices; include selected evidence; create revisions rather than replacing history; hand files to the platform share sheet.",Highest,p0,core
310,Story,300,"[P0-CORE-10] Implement ETA estimation and navigation handoff","Store manual or on-device estimates with source and freshness; hand navigation to native maps; never present estimates as truck-safe routing.",Highest,p0,core
400,Epic,,"[P0-F04] Backend and Security","Provide authenticated data, private files, tested row-level authorization, idempotent sync, and narrowly scoped public tracking reads.",Highest,p0,backend
401,Story,400,"[P0-BE-01] Establish backend environments and migration workflow","Create separate local/development and pilot configuration; version schema, policies, functions, and seeds; document reset/deploy; keep service credentials out of clients and source control.",Highest,p0,backend
402,Story,400,"[P0-BE-02] Implement authentication and business profiles","Support email/password registration, reset, session refresh, and profile ownership; store invoice and factoring details; enforce required server values.",Highest,p0,backend
403,Story,400,"[P0-BE-03] Implement the relational load-to-cash schema","Create constrained tables for the P0 domain; use client UUIDs and UTC timestamps; preserve immutable evidence and invoice revisions.",Highest,p0,backend
404,Story,400,"[P0-BE-04] Enforce and test tenant isolation","Enable RLS on every owned table; scope rows to authenticated users; prove cross-account reads and writes fail; restrict service-role use.",Highest,p0,backend
405,Story,400,"[P0-BE-05] Implement private document storage","Use private buckets and account/load/document object keys; validate ownership and metadata; issue short-lived signed URLs; prevent permanent or enumerable access.",Highest,p0,backend
406,Story,400,"[P0-BE-06] Define idempotent sync contracts","Accept client UUIDs and idempotency keys; return stable retry results; expose reconciliation metadata; reject invalid state and financial writes atomically.",Highest,p0,backend
407,Story,400,"[P0-BE-07] Implement tracking-share lifecycle","Use tokens with at least 128 bits of randomness and persist only hashes; scope visibility; support preview, expiry, shortened expiry, and immediate revocation.",Highest,p0,backend
408,Story,400,"[P0-BE-08] Implement the public tracking read contract","Validate share tokens in an Edge Function; return only approved status fields; never expose coordinates, financials, private documents, or authenticated APIs.",Highest,p0,backend
409,Story,400,"[P0-BE-09] Implement account export and deletion","Export user-controlled data; revoke shares and sessions; delete or schedule deletion of owned rows and files; report progress and recoverable failures.",Highest,p0,backend
500,Epic,,"[P0-F05] Broker Tracking Web","Give a broker a secure, account-free, mobile-friendly status page for exactly one shared load.",Highest,p0,web
501,Story,500,"[P0-WEB-01] Build the responsive tracking page","Render only approved carrier, load, scoped stop, status, ETA, event, delay, freshness, and POD-availability fields from the public contract.",Highest,p0,web
502,Story,500,"[P0-WEB-02] Represent freshness and ETA honestly","Show the last successful update and estimate source; distinguish loading, current, stale, delayed, delivered, and no-update states; never imply live GPS.",Highest,p0,web
503,Story,500,"[P0-WEB-03] Handle secure failure states accessibly","Handle invalid, expired, and revoked links safely; prevent cross-load cache leaks; pass keyboard, screen-reader, text scaling, and WCAG AA checks.",Highest,p0,web
504,Story,500,"[P0-WEB-04] Deploy and harden the tracking site","Deploy the static site; configure TLS, security headers, safe caching, environment separation, monitoring, and a reproducible release command.",Highest,p0,web
600,Epic,,"[P0-F06] Quality, Compliance, and Pilot Release","Make the pilot observable, supportable, legally shippable, and resilient enough for real loads without database intervention.",Highest,p0,release
601,Story,600,"[P0-REL-01] Establish source control, builds, and CI gates","Create app and web projects after platform selection; configure build and test jobs and protected secrets; make clean checkouts reproducibly build pilot artifacts.",Highest,p0,release
602,Story,600,"[P0-REL-02] Implement privacy-safe analytics, diagnostics, and feedback","Instrument scorecard and non-sensitive failures; exclude private payloads and tokens; include app/version/device context in user-initiated feedback.",Highest,p0,release
603,Story,600,"[P0-REL-03] Automate domain, integration, and authorization tests","Cover calculations, transitions, migrations, sync, document policies, share scope, expiry/revocation, and cross-account denial in CI.",Highest,p0,release
604,Story,600,"[P0-REL-04] Prove offline and restart resilience","Test offline mutation, termination, reconnection, conflict review, interrupted upload, retry, and duplicate-event scenarios without data loss.",Highest,p0,release
605,Story,600,"[P0-REL-05] Pass accessibility and performance gates","Verify critical screens on two representative devices; meet accessibility expectations; reach cached active load within three seconds on the chosen device.",Highest,p0,release
606,Story,600,"[P0-REL-06] Complete privacy, legal, and store readiness","Publish privacy, terms, support, deletion instructions, and accurate store disclosures; state product limitations; verify contextual permission prompts.",Highest,p0,release
607,Story,600,"[P0-REL-07] Prepare and distribute the closed pilot","Configure signing, pilot environments, cost limits, monitoring, beta distribution, tester onboarding, support ownership, incident contact, and feedback cadence.",Highest,p0,release
608,Story,600,"[P0-REL-08] Complete a real load from evaluation to payment","Use a production-like pilot build for one real end-to-end load without direct database intervention; block launch on unresolved data-loss, authorization, or financial errors.",Highest,p0,release
